,City Name,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County
732,Lancaster,59302,30.8,37516,50.0,50.0,18803,112155," [(['White alone'], ['24,179']), (['Hispanic'], ['24,157']), (['Black alone'], ['8,508']), (['Asian alone'], ['2,287']), (['Two or more races'], ['2,013']), (['Other race alone'], ['73']), (['American Indian alone'], ['9'])] ",Lancaster-County
733,Landisburg,218,33.8,46279,52.2,47.8,19875,88244," [(['White alone'], ['200']), (['Hispanic'], ['13']), (['Black alone'], ['2']), (['Two or more races'], ['2']), (['American Indian alone'], ['1'])] ",Perry-County
734,Landisville,1893,46.8,61335,49.7,50.3,29740,196400," [(['White alone'], ['1,731']), (['Hispanic'], ['83']), (['Asian alone'], ['39']), (['Black alone'], ['25']), (['Two or more races'], ['10']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Lancaster-County
735,Lanesboro,484,46.1,42762,46.5,53.5,21578,85441," [(['White alone'], ['488']), (['Two or more races'], ['12']), (['Black alone'], ['2']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Susquehanna-County
736,Langeloth,717,51.4,57998,46.6,53.4,32270,167100," [(['White alone'], ['673']), (['Hispanic'], ['32']), (['Two or more races'], ['6']), (['Black alone'], ['4']), (['Asian alone'], ['2'])] ",Washington-County
737,Langhorne Manor,1434,33.0,94509,46.5,53.5,29383,373823," [(['White alone'], ['1,318']), (['Black alone'], ['50']), (['Asian alone'], ['18']), (['Two or more races'], ['16']), (['Hispanic'], ['10']), (['American Indian alone'], ['1'])] ",Bucks-County
738,Langhorne,1603,51.4,79374,49.0,51.0,44525,362131," [(['White alone'], ['1,460']), (['Black alone'], ['49']), (['Two or more races'], ['32']), (['Hispanic'], ['29']), (['Asian alone'], ['17']), (['American Indian alone'], ['4'])] ",Bucks-County
739,Lansdale,16487,37.2,62744,49.0,51.0,29722,230887," [(['White alone'], ['11,856']), (['Asian alone'], ['1,530']), (['Black alone'], ['1,437']), (['Hispanic'], ['1,056']), (['Two or more races'], ['568']), (['American Indian alone'], ['107']), (['Other race alone'], ['47']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['11'])]",Montgomery-County
740,Lansdowne,10641,39.3,55735,46.3,53.7,33237,164252," [(['Black alone'], ['5,811']), (['White alone'], ['3,652']), (['Asian alone'], ['529']), (['Hispanic'], ['439']), (['Two or more races'], ['234']), (['Other race alone'], ['74']), (['American Indian alone'], ['26']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['20'])]",Delaware-County
741,Lansford,3836,43.8,31121,47.0,53.0,19032,46825," [(['White alone'], ['3,650']), (['Hispanic'], ['171']), (['Two or more races'], ['64']), (['Black alone'], ['35']), (['Asian alone'], ['12']), (['American Indian alone'], ['8']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Carbon-County
742,Laporte,308,62.4,74509,45.8,54.2,34312,148354," [(['White alone'], ['307']), (['American Indian alone'], ['3']), (['Hispanic'], ['3']), (['Black alone'], ['2']), (['Asian alone'], ['1'])] ",Sullivan-County
743,Larksville,4430,48.7,47235,47.5,52.5,25961,117505," [(['White alone'], ['4,301']), (['Hispanic'], ['76']), (['Black alone'], ['35']), (['Two or more races'], ['31']), (['Asian alone'], ['28']), (['American Indian alone'], ['5']), (['Other race alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Luzerne-County
744,Latrobe,8129,42.8,46784,50.8,49.2,26000,119462," [(['White alone'], ['7,812']), (['Two or more races'], ['91']), (['Black alone'], ['78']), (['Asian alone'], ['50']), (['American Indian alone'], ['19']), (['Hispanic'], ['12'])] ",Westmoreland-County
745,Lattimer,554,36.0,46580,50.0,50.0,26893,123400," [(['White alone'], ['531']), (['Hispanic'], ['9']), (['Two or more races'], ['7']), (['Black alone'], ['6']), (['Asian alone'], ['1'])] ",Luzerne-County
746,Laurel Run,508,51.8,45003,53.8,46.2,28762,83432," [(['White alone'], ['491']), (['Hispanic'], ['4']), (['Asian alone'], ['2']), (['Two or more races'], ['2']), (['Black alone'], ['1'])] ",Luzerne-County
747,Laureldale,3895,42.8,56581,48.8,51.2,25807,127532," [(['White alone'], ['3,104']), (['Hispanic'], ['630']), (['Black alone'], ['82']), (['Two or more races'], ['53']), (['Asian alone'], ['29']), (['American Indian alone'], ['12']), (['Other race alone'], ['1'])] ",Berks-County
748,Laurelton,221,35.4,53231,51.6,48.4,24194,171193," [(['White alone'], ['219']), (['Asian alone'], ['2'])] ",Union-County
749,Laurys Station,1243,48.1,60498,51.8,48.2,32424,198800," [(['White alone'], ['1,147']), (['Hispanic'], ['53']), (['Black alone'], ['16']), (['Asian alone'], ['16']), (['Two or more races'], ['7']), (['American Indian alone'], ['2']), (['Other race alone'], ['2'])] ",Lehigh-County
750,Lavelle-Locustdale,636,42.0,50617,47.9,52.1,40326,107986," [(['White alone'], ['642']), (['Asian alone'], ['5']), (['Other race alone'], ['2'])] ",Schuylkill-County
751,Lavelle,742,61.0,50684,52.9,47.1,25430,97600," [(['White alone'], ['734']), (['Hispanic'], ['5']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Two or more races'], ['1'])] ",Schuylkill-County
752,Lawnton,3813,41.8,65021,46.5,53.5,32172,164899," [(['White alone'], ['2,556']), (['Black alone'], ['684']), (['Hispanic'], ['268']), (['Asian alone'], ['163']), (['Two or more races'], ['122']), (['Other race alone'], ['12']), (['American Indian alone'], ['8'])] ",Dauphin-County
753,Lawrence Park,3982,39.4,54110,44.4,55.6,24972,102817," [(['White alone'], ['3,561']), (['Hispanic'], ['201']), (['Asian alone'], ['25']), (['Black alone'], ['19']), (['American Indian alone'], ['10']), (['Two or more races'], ['4'])] ",Erie-County
754,Lawrenceville,620,39.9,38319,50.0,50.0,20510,93435," [(['White alone'], ['565']), (['Hispanic'], ['6']), (['American Indian alone'], ['4']), (['Two or more races'], ['4']), (['Black alone'], ['2'])] ",Tioga-County
755,Lawrence,540,47.0,57998,43.9,56.1,32270,167100," [(['White alone'], ['484']), (['Black alone'], ['32']), (['Two or more races'], ['13']), (['Asian alone'], ['5']), (['American Indian alone'], ['3']), (['Hispanic'], ['2']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Washington-County
756,Lawson Heights,2194,53.4,46707,47.3,52.7,26914,149168," [(['White alone'], ['2,143']), (['Asian alone'], ['23']), (['Two or more races'], ['12']), (['Hispanic'], ['10']), (['Black alone'], ['4']), (['Other race alone'], ['2'])] ",Westmoreland-County
757,Le Raysville,285,37.8,62415,50.0,50.0,23377,154063," [(['White alone'], ['288']), (['Two or more races'], ['2'])] ",Bradford-County
758,Leacock-Leola-Bareville,7214,37.8,64519,49.0,51.0,32614,219311," [(['White alone'], ['6,159']), (['Hispanic'], ['539']), (['Asian alone'], ['339']), (['Black alone'], ['84']), (['Two or more races'], ['77']), (['Other race alone'], ['7']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['4'])]",Lancaster-County
759,Lebanon South,2270,42.7,57490,45.3,54.7,25505,140604," [(['White alone'], ['2,087']), (['Hispanic'], ['96']), (['Asian alone'], ['35']), (['Two or more races'], ['31']), (['Black alone'], ['20']), (['American Indian alone'], ['1'])] ",Lebanon-County
760,Lebanon,25573,34.4,36409,48.0,52.0,19308,91250," [(['White alone'], ['15,669']), (['Hispanic'], ['8,177']), (['Black alone'], ['956']), (['Two or more races'], ['321']), (['Asian alone'], ['268']), (['American Indian alone'], ['43']), (['Other race alone'], ['36']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['7'])]",Lebanon-County
761,Leechburg,2095,42.8,38373,53.7,46.3,22615,77911," [(['White alone'], ['2,070']), (['Black alone'], ['29']), (['Two or more races'], ['28']), (['Hispanic'], ['23']), (['Asian alone'], ['5']), (['American Indian alone'], ['1'])] ",Armstrong-County
762,Leesport,1910,35.7,67916,50.5,49.5,29715,151528," [(['White alone'], ['1,779']), (['Hispanic'], ['80']), (['Black alone'], ['28']), (['Two or more races'], ['14']), (['Asian alone'], ['12']), (['American Indian alone'], ['5'])] ",Berks-County
763,Leetsdale,1206,42.0,47911,47.9,52.1,27644,83182," [(['White alone'], ['1,036']), (['Black alone'], ['90']), (['Two or more races'], ['40']), (['Hispanic'], ['28']), (['Asian alone'], ['18']), (['Other race alone'], ['6'])] ",Allegheny-County
764,Lehighton,5365,42.5,43763,42.6,57.4,20968,144312," [(['White alone'], ['5,172']), (['Hispanic'], ['202']), (['Two or more races'], ['60']), (['Black alone'], ['27']), (['Asian alone'], ['27']), (['American Indian alone'], ['10']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Carbon-County
765,Leith-Hatfield,2546,54.0,80189,44.0,56.0,40302,186155," [(['White alone'], ['2,423']), (['Asian alone'], ['59']), (['Black alone'], ['30']), (['Two or more races'], ['20']), (['Hispanic'], ['12']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Fayette-County
766,Lemont Furnace,827,28.2,43140,43.4,56.6,24029,101700," [(['White alone'], ['768']), (['Black alone'], ['21']), (['Two or more races'], ['20']), (['Hispanic'], ['17']), (['American Indian alone'], ['1'])] ",Fayette-County
767,Lemont,2270,45.9,98769,49.5,50.5,49294,249454," [(['White alone'], ['2,119']), (['Asian alone'], ['44']), (['Black alone'], ['39']), (['Two or more races'], ['31']), (['Hispanic'], ['30']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Centre-County
768,Lemoyne,4622,37.7,49523,48.3,51.7,34861,156651," [(['White alone'], ['3,693']), (['Black alone'], ['290']), (['Two or more races'], ['267']), (['Hispanic'], ['261']), (['Asian alone'], ['113']), (['American Indian alone'], ['12'])] ",Cumberland-County
769,Lenape Heights,1167,47.0,51432,48.3,51.7,23523,141108," [(['White alone'], ['1,154']), (['Black alone'], ['6']), (['Asian alone'], ['3']), (['Two or more races'], ['3']), (['Hispanic'], ['1'])] ",Armstrong-County
770,Lenkerville,550,31.2,60331,56.5,43.5,32143,167500," [(['White alone'], ['522']), (['Black alone'], ['13']), (['Hispanic'], ['8']), (['Two or more races'], ['5']), (['Asian alone'], ['2'])] ",Dauphin-County
771,Level Green,4020,44.8,56722,48.8,51.2,30677,149700," [(['White alone'], ['3,944']), (['Asian alone'], ['25']), (['Hispanic'], ['24']), (['Two or more races'], ['17']), (['Black alone'], ['8']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Westmoreland-County
772,Levittown,52983,39.8,72971,49.0,51.0,28699,230419," [(['White alone'], ['46,421']), (['Hispanic'], ['2,685']), (['Black alone'], ['1,904']), (['Asian alone'], ['917']), (['Two or more races'], ['826']), (['Other race alone'], ['133']), (['American Indian alone'], ['81']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['16'])]",Bucks-County
773,Lewis Run,600,45.1,57016,52.3,47.7,31288,87102," [(['White alone'], ['597']), (['Two or more races'], ['10']), (['Other race alone'], ['5']), (['Hispanic'], ['4']), (['Black alone'], ['1'])] ",McKean-County
774,Lewisberry,363,43.5,47831,45.3,54.7,26835,163007," [(['White alone'], ['342']), (['Hispanic'], ['11']), (['Two or more races'], ['5']), (['Asian alone'], ['2']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",York-County
775,Lewisburg,5775,24.3,44798,42.6,57.4,21234,167767," [(['White alone'], ['4,640']), (['Hispanic'], ['561']), (['Asian alone'], ['227']), (['Black alone'], ['199']), (['Two or more races'], ['131']), (['Other race alone'], ['7']), (['American Indian alone'], ['1'])] ",Union-County
776,Lewistown,8297,36.0,32129,49.6,50.4,18147,72671," [(['White alone'], ['7,779']), (['Hispanic'], ['256']), (['Two or more races'], ['134']), (['Black alone'], ['116']), (['American Indian alone'], ['21']), (['Asian alone'], ['27']), (['Other race alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Mifflin-County
777,Liberty,2532,45.7,53594,47.6,52.4,26253,81868," [(['White alone'], ['2,476']), (['Black alone'], ['36']), (['Two or more races'], ['17']), (['Hispanic'], ['11']), (['Asian alone'], ['6']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Allegheny-County
778,Lightstreet,1093,48.7,61873,49.5,50.5,30991,146959," [(['White alone'], ['1,053']), (['Asian alone'], ['17']), (['Two or more races'], ['14']), (['Black alone'], ['4']), (['Hispanic'], ['3']), (['American Indian alone'], ['2'])] ",Columbia-County
779,Ligonier,1549,55.1,43749,45.0,55.0,31991,168865," [(['White alone'], ['1,548']), (['Hispanic'], ['14']), (['Two or more races'], ['7']), (['Asian alone'], ['3']), (['Other race alone'], ['1'])] ",Westmoreland-County
780,Lilly,938,52.0,45458,49.1,50.9,24435,77833," [(['White alone'], ['963']), (['Two or more races'], ['3']), (['Hispanic'], ['2'])] ",Cambria-County
781,Lima,2735,77.7,47630,38.9,61.1,34858,250279," [(['White alone'], ['2,478']), (['Black alone'], ['174']), (['Asian alone'], ['41']), (['Hispanic'], ['25']), (['Two or more races'], ['11']), (['Other race alone'], ['4']), (['American Indian alone'], ['2'])] ",Delaware-County
782,Lime Ridge,890,37.6,33927,47.2,52.8,27620,104956," [(['White alone'], ['846']), (['Hispanic'], ['22']), (['Two or more races'], ['13']), (['Asian alone'], ['5']), (['Black alone'], ['4'])] ",Columbia-County
783,Lincoln Park,1615,39.0,59286,51.1,48.9,29321,174800," [(['White alone'], ['1,411']), (['Hispanic'], ['120']), (['Black alone'], ['41']), (['Asian alone'], ['30']), (['Two or more races'], ['11']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1']), (['Other race alone'], ['1'])]",Berks-County
784,Lincoln University,1726,20.2,92407,44.6,55.4,46699,347700," [(['Black alone'], ['1,159']), (['White alone'], ['428']), (['Hispanic'], ['109']), (['Two or more races'], ['77']), (['Asian alone'], ['24']), (['American Indian alone'], ['8'])] ",Chester-County
785,Lincoln,1066,48.8,56632,55.2,44.8,27138,92485," [(['White alone'], ['1,052']), (['Black alone'], ['7']), (['Two or more races'], ['6']), (['Asian alone'], ['4']), (['Hispanic'], ['2']), (['American Indian alone'], ['1'])] ",Allegheny-County
786,Linesville,1008,48.2,43906,49.5,50.5,31633,97974," [(['White alone'], ['1,005']), (['Two or more races'], ['16']), (['Hispanic'], ['10']), (['American Indian alone'], ['7']), (['Black alone'], ['1']), (['Asian alone'], ['1'])] ",Crawford-County
787,Linglestown,6334,44.7,80779,48.0,52.0,37580,181337," [(['White alone'], ['5,672']), (['Black alone'], ['262']), (['Hispanic'], ['156']), (['Asian alone'], ['128']), (['Two or more races'], ['93']), (['American Indian alone'], ['12']), (['Other race alone'], ['11'])] ",Dauphin-County
788,Linntown,1489,52.2,71469,52.7,47.3,44370,184066," [(['White alone'], ['1,388']), (['Hispanic'], ['27']), (['Asian alone'], ['25']), (['Two or more races'], ['24']), (['Black alone'], ['19']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Union-County
789,Linwood,3281,33.4,59413,43.0,57.0,21591,97627," [(['White alone'], ['2,805']), (['Black alone'], ['244']), (['Hispanic'], ['122']), (['Two or more races'], ['87']), (['Asian alone'], ['20']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Delaware-County
790,Lionville-Marchwood,6189,37.8,90117,49.6,50.4,48731,318352," [(['White alone'], ['5,260']), (['Asian alone'], ['402']), (['Black alone'], ['237']), (['Hispanic'], ['181']), (['Two or more races'], ['92']), (['Other race alone'], ['13']), (['American Indian alone'], ['4'])] ",Chester-County
791,Lititz,9397,44.6,55852,43.5,56.5,33051,190141," [(['White alone'], ['8,549']), (['Hispanic'], ['322']), (['Asian alone'], ['188']), (['Two or more races'], ['93']), (['Black alone'], ['83']), (['American Indian alone'], ['4'])] ",Lancaster-County
792,Little Britain,372,26.2,61335,54.0,46.0,29740,196400," [(['White alone'], ['358']), (['Black alone'], ['4']), (['Two or more races'], ['4']), (['Hispanic'], ['4']), (['Asian alone'], ['2'])] ",Lancaster-County
793,Little Meadows,263,58.3,55720,50.0,50.0,36532,145343," [(['White alone'], ['267']), (['Hispanic'], ['4']), (['Asian alone'], ['1']), (['Two or more races'], ['1'])] ",Susquehanna-County
794,Littlestown,4448,39.0,53171,45.1,54.9,25985,178648," [(['White alone'], ['4,205']), (['Hispanic'], ['110']), (['Two or more races'], ['58']), (['Black alone'], ['36']), (['Asian alone'], ['18']), (['American Indian alone'], ['4']), (['Other race alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Adams-County
795,Liverpool,957,43.6,49241,50.2,49.8,25725,118351," [(['White alone'], ['918']), (['Two or more races'], ['13']), (['Asian alone'], ['10']), (['Hispanic'], ['6']), (['Black alone'], ['5']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Perry-County
796,Lock Haven,9862,23.3,30643,47.6,52.4,14877,105996," [(['White alone'], ['8,966']), (['Black alone'], ['399']), (['Hispanic'], ['183']), (['Two or more races'], ['113']), (['Asian alone'], ['92']), (['American Indian alone'], ['8']), (['Other race alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['5'])]",Clinton-County
797,Loganton,473,35.3,58312,47.8,52.2,21053,123645," [(['White alone'], ['451']), (['Hispanic'], ['10']), (['Two or more races'], ['6']), (['Black alone'], ['1'])] ",Clinton-County
798,Loganville,1232,36.6,76704,48.6,51.4,33530,196834," [(['White alone'], ['1,185']), (['Black alone'], ['17']), (['Asian alone'], ['15']), (['Two or more races'], ['13']), (['Hispanic'], ['10'])] ",York-County
799,Long Branch,437,48.5,59224,48.0,52.0,28653,118791," [(['White alone'], ['442']), (['Black alone'], ['3']), (['American Indian alone'], ['2'])] ",Washington-County
800,Longfellow,215,62.3,43559,44.7,55.3,22481,103505,*,Mifflin-County
801,Lorain,731,45.3,35323,49.9,50.1,20970,50618," [(['White alone'], ['716']), (['Black alone'], ['18']), (['Two or more races'], ['16']), (['Hispanic'], ['4']), (['American Indian alone'], ['3']), (['Asian alone'], ['2'])] ",Cambria-County
802,Lorane,4236,48.3,67739,51.0,49.0,36267,178110," [(['White alone'], ['3,868']), (['Hispanic'], ['158']), (['Black alone'], ['94']), (['Asian alone'], ['68']), (['Two or more races'], ['44']), (['Other race alone'], ['3']), (['American Indian alone'], ['1'])] ",Berks-County
803,Loretto,1308,20.4,19410,35.3,64.7,6662,145607," [(['White alone'], ['1,168']), (['Black alone'], ['74']), (['Hispanic'], ['29']), (['Two or more races'], ['18']), (['Asian alone'], ['11']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Cambria-County
804,Lower Allen,6694,44.0,61716,44.3,55.7,36109,180358," [(['White alone'], ['6,056']), (['Hispanic'], ['245']), (['Black alone'], ['180']), (['Asian alone'], ['114']), (['Two or more races'], ['84']), (['American Indian alone'], ['9']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['3']), (['Other race alone'], ['3'])]",Cumberland-County
805,Lower Burrell,11531,47.1,60435,48.8,51.2,28681,143738," [(['White alone'], ['11,402']), (['Black alone'], ['128']), (['Two or more races'], ['108']), (['Hispanic'], ['64']), (['Asian alone'], ['48']), (['American Indian alone'], ['6']), (['Other race alone'], ['5'])] ",Westmoreland-County
806,Loyalhanna,3428,47.1,56722,47.4,52.6,30677,149700," [(['White alone'], ['3,367']), (['Two or more races'], ['24']), (['Black alone'], ['18']), (['Hispanic'], ['10']), (['American Indian alone'], ['4']), (['Asian alone'], ['5'])] ",Westmoreland-County
807,Lucerne Mines,937,49.7,61505,45.9,54.1,22352,72371," [(['White alone'], ['907']), (['Two or more races'], ['18']), (['Black alone'], ['5']), (['Hispanic'], ['5']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Indiana-County
808,Luzerne,2839,45.4,40369,45.5,54.5,24958,88928," [(['White alone'], ['2,741']), (['Hispanic'], ['59']), (['Black alone'], ['16']), (['Two or more races'], ['17']), (['Asian alone'], ['7']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Luzerne-County
809,Lykens,1761,38.8,40671,46.5,53.5,20126,79068," [(['White alone'], ['1,702']), (['Hispanic'], ['39']), (['Asian alone'], ['20']), (['Two or more races'], ['17']), (['Black alone'], ['1'])] ",Dauphin-County
810,Lynnwood-Pricedale,2031,48.3,51032,55.1,44.9,31014,102426," [(['White alone'], ['1,949']), (['Black alone'], ['41']), (['Two or more races'], ['18']), (['Asian alone'], ['12']), (['Hispanic'], ['11'])] ",Westmoreland-County
811,Lyons,472,37.2,48481,54.0,46.0,26288,140150," [(['White alone'], ['460']), (['Hispanic'], ['9']), (['Asian alone'], ['4']), (['Black alone'], ['3']), (['Two or more races'], ['2'])] ",Berks-County
812,Macungie,3116,40.6,63117,53.0,47.0,33486,191150," [(['White alone'], ['2,758']), (['Hispanic'], ['160']), (['Asian alone'], ['56']), (['Black alone'], ['46']), (['Two or more races'], ['46']), (['American Indian alone'], ['4']), (['Other race alone'], ['4'])] ",Lehigh-County
813,Madison,383,56.8,57059,46.4,53.6,31942,139372," [(['White alone'], ['394']), (['Hispanic'], ['2']), (['Black alone'], ['1'])] ",Westmoreland-County
814,Mahaffey,356,43.4,47436,51.9,48.1,19122,66179," [(['White alone'], ['365']), (['Two or more races'], ['2']), (['American Indian alone'], ['1'])] ",Clearfield-County
815,Mahanoy City,4083,33.3,29420,45.9,54.1,17494,28808," [(['White alone'], ['3,250']), (['Hispanic'], ['512']), (['Black alone'], ['234']), (['Two or more races'], ['30']), (['Asian alone'], ['17']), (['American Indian alone'], ['13'])] ",Schuylkill-County
816,Maitland,357,26.3,43559,62.0,38.0,22481,103505," [(['White alone'], ['348']), (['Two or more races'], ['4']), (['Black alone'], ['3']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Mifflin-County
817,Malvern,3434,42.9,76928,45.0,55.0,50691,357154," [(['White alone'], ['2,632']), (['Asian alone'], ['125']), (['Hispanic'], ['112']), (['Black alone'], ['83']), (['Two or more races'], ['37']), (['Other race alone'], ['6']), (['American Indian alone'], ['3'])] ",Chester-County
818,Mammoth,525,60.7,56722,54.4,45.6,30677,149700," [(['White alone'], ['521']), (['Two or more races'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Westmoreland-County
819,Manchester,2753,43.8,58595,49.3,50.7,31203,139603," [(['White alone'], ['2,483']), (['Hispanic'], ['107']), (['Black alone'], ['84']), (['Two or more races'], ['51']), (['Asian alone'], ['29']), (['Other race alone'], ['7']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",York-County
820,Manheim,4869,37.7,48918,45.6,54.4,23694,151045," [(['White alone'], ['4,520']), (['Hispanic'], ['165']), (['Two or more races'], ['81']), (['Asian alone'], ['54']), (['Black alone'], ['38'])] ",Lancaster-County
821,Manns Choice,298,35.8,43539,50.2,49.8,20060,95407," [(['White alone'], ['295']), (['Hispanic'], ['4']), (['Two or more races'], ['1'])] ",Bedford-County
822,Manorville,400,39.2,62417,41.3,58.7,26965,93414," [(['White alone'], ['405']), (['Black alone'], ['2']), (['Asian alone'], ['2']), (['Hispanic'], ['1'])] ",Armstrong-County
823,Manor,3308,39.9,65381,46.1,53.9,33338,180790," [(['White alone'], ['3,158']), (['Asian alone'], ['25']), (['Hispanic'], ['24']), (['Two or more races'], ['21']), (['Black alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Westmoreland-County
824,Mansfield,3519,29.3,42718,48.3,51.7,23459,155102," [(['White alone'], ['3,195']), (['Black alone'], ['185']), (['Hispanic'], ['111']), (['Two or more races'], ['71']), (['Asian alone'], ['47']), (['American Indian alone'], ['7']), (['Other race alone'], ['7']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Tioga-County
825,Maple Glen,6742,41.3,114542,50.2,49.8,46646,390498," [(['White alone'], ['5,785']), (['Asian alone'], ['581']), (['Black alone'], ['181']), (['Hispanic'], ['132']), (['Two or more races'], ['55']), (['Other race alone'], ['5']), (['American Indian alone'], ['3'])] ",Montgomery-County
826,Mapleton,429,38.8,35779,45.0,55.0,17345,66546," [(['White alone'], ['426']), (['Two or more races'], ['6']), (['Hispanic'], ['6']), (['Black alone'], ['2']), (['American Indian alone'], ['1'])] ",Huntingdon-County
827,Marcus Hook,2399,32.5,38744,46.3,53.7,17197,80894," [(['White alone'], ['1,934']), (['Black alone'], ['307']), (['Two or more races'], ['78']), (['Hispanic'], ['71']), (['American Indian alone'], ['2']), (['Asian alone'], ['2']), (['Other race alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Delaware-County
828,Marianna,482,39.6,31222,45.5,54.5,19393,45845," [(['White alone'], ['452']), (['Black alone'], ['18']), (['Two or more races'], ['17']), (['American Indian alone'], ['5']), (['Hispanic'], ['2'])] ",Washington-County
829,Marianne,1167,46.0,44462,51.4,48.6,23297,112225," [(['White alone'], ['1,058']), (['Black alone'], ['27']), (['Two or more races'], ['16']), (['Hispanic'], ['16']), (['Other race alone'], ['8']), (['American Indian alone'], ['7']), (['Asian alone'], ['7'])] ",Clarion-County
830,Marienville,3137,35.7,37935,93.2,6.8,13783,88867," [(['Black alone'], ['2,233']), (['White alone'], ['1,783']), (['Hispanic'], ['524']), (['Two or more races'], ['119']), (['Asian alone'], ['27']), (['American Indian alone'], ['11'])] ",Forest-County
831,Marietta,2604,38.2,52389,45.6,54.4,26459,130625," [(['White alone'], ['2,377']), (['Hispanic'], ['114']), (['Black alone'], ['52']), (['Two or more races'], ['33']), (['Asian alone'], ['6']), (['American Indian alone'], ['3']), (['Other race alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County
832,Marion Center,430,42.2,44159,50.1,49.9,21082,88706," [(['White alone'], ['446']), (['Black alone'], ['2']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Other race alone'], ['1'])] ",Indiana-County
833,Marion Heights,611,44.0,44035,48.1,51.9,25381,80438," [(['White alone'], ['604']), (['Hispanic'], ['4']), (['Two or more races'], ['2']), (['Asian alone'], ['1'])] ",Northumberland-County
834,Marion,953,51.4,60559,48.7,51.3,30949,174700," [(['White alone'], ['857']), (['Hispanic'], ['70']), (['Black alone'], ['14']), (['Two or more races'], ['9']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Franklin-County
835,Marklesburg,203,38.4,48522,50.6,49.4,20305,121673," [(['White alone'], ['199']), (['Two or more races'], ['4']), (['Black alone'], ['1'])] ",Huntingdon-County
836,Markleysburg,279,49.2,43927,47.1,52.9,18593,110543," [(['White alone'], ['275']), (['Black alone'], ['7']), (['Two or more races'], ['1']), (['Hispanic'], ['1'])] ",Fayette-County
837,Marlin,661,59.7,34592,46.3,53.7,26965,128151," [(['White alone'], ['640']), (['Two or more races'], ['9']), (['Black alone'], ['4']), (['Hispanic'], ['4']), (['Other race alone'], ['3']), (['Asian alone'], ['1'])] ",Schuylkill-County
838,Marshallton,1441,49.4,37855,51.0,49.0,21641,64894," [(['White alone'], ['1,409']), (['Hispanic'], ['11']), (['American Indian alone'], ['10']), (['Two or more races'], ['6']), (['Asian alone'], ['3']), (['Black alone'], ['2'])] ",Northumberland-County
839,Mars,1663,42.4,58331,49.0,51.0,34692,181357," [(['White alone'], ['1,637']), (['Hispanic'], ['24']), (['Asian alone'], ['14']), (['Two or more races'], ['14']), (['Black alone'], ['10'])] ",Butler-County
