,City,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County,Higher Degree,H.S Diploma,No H.S Diploma,ZipCode,Lat,Long
804,Spartansburg,301,45.7,44154,50.4,49.6,24474,78015,*,Crawford-County,28.110714,60.210551,11.678735,16434,41.82,-79.68
805,Springboro,462,38.8,43066,46.5,53.5,22934,88638," [(['White alone'], ['461']), (['Hispanic'], ['9']), (['Black alone'], ['5']), (['Two or more races'], ['2'])] ",Crawford-County,28.110714,60.210551,11.678735,16435,41.8,-80.37
806,Titusville,5419,39.8,31054,47.0,53.0,19749,77478," [(['White alone'], ['5,323']), (['Black alone'], ['96']), (['Hispanic'], ['69']), (['Two or more races'], ['54']), (['Asian alone'], ['39']), (['American Indian alone'], ['17']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['Other race alone'], ['1'])]",Crawford-County,28.110714,60.210551,11.678735,16354,41.62,-79.67
807,Townville,320,44.0,40547,46.0,54.0,19988,93896," [(['White alone'], ['321']), (['Hispanic'], ['2'])] ",Crawford-County,28.110714,60.210551,11.678735,16360,41.67,-79.88
808,Venango,243,37.5,52239,47.1,52.9,19687,86707," [(['White alone'], ['235']), (['Two or more races'], ['3']), (['Black alone'], ['1'])] ",Crawford-County,28.110714,60.210551,11.678735,16440,41.77,-80.11
809,Blue Ridge Summit,891,43.7,60559,59.3,40.7,30949,174700," [(['White alone'], ['828']), (['Asian alone'], ['20']), (['Black alone'], ['16']), (['Hispanic'], ['16']), (['Two or more races'], ['8']), (['American Indian alone'], ['3'])] ",Franklin-County,28.001552,58.543624,13.454824,17214,39.73,-77.46
810,Chambersburg,20602,36.7,46091,47.1,52.9,24886,156970," [(['White alone'], ['14,364']), (['Hispanic'], ['3,491']), (['Black alone'], ['1,850']), (['Two or more races'], ['438']), (['Asian alone'], ['357']), (['American Indian alone'], ['137']), (['Other race alone'], ['62'])] ",Franklin-County,28.001552,58.543624,13.454824,17201,39.93,-77.65
811,Fayetteville,3128,47.4,49180,54.7,45.3,26699,142244," [(['White alone'], ['2,807']), (['Black alone'], ['116']), (['Hispanic'], ['116']), (['Two or more races'], ['55']), (['Asian alone'], ['20']), (['American Indian alone'], ['10']), (['Other race alone'], ['4'])] ",Franklin-County,28.001552,58.543624,13.454824,17222,39.91,-77.56
812,Fort Loudon,886,50.7,60559,49.3,50.7,30949,174700," [(['White alone'], ['852']), (['Hispanic'], ['18']), (['Two or more races'], ['8']), (['Black alone'], ['4']), (['Asian alone'], ['3']), (['American Indian alone'], ['1'])] ",Franklin-County,28.001552,58.543624,13.454824,17224,39.94,-77.87
813,Greencastle,4042,40.6,60471,46.9,53.1,35695,189025," [(['White alone'], ['3,730']), (['Black alone'], ['99']), (['Hispanic'], ['65']), (['Asian alone'], ['46']), (['Two or more races'], ['49']), (['American Indian alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Franklin-County,28.001552,58.543624,13.454824,17225,39.79,-77.72
814,Marion,953,51.4,60559,48.7,51.3,30949,174700," [(['White alone'], ['857']), (['Hispanic'], ['70']), (['Black alone'], ['14']), (['Two or more races'], ['9']), (['American Indian alone'], ['1']), (['Asian alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Franklin-County,28.001552,58.543624,13.454824,17235,39.86,-77.67
815,Mercersburg,1560,45.9,46769,52.7,47.3,28145,169992," [(['White alone'], ['1,414']), (['Black alone'], ['73']), (['Hispanic'], ['46']), (['Two or more races'], ['19']), (['Asian alone'], ['6']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Franklin-County,28.001552,58.543624,13.454824,17236,39.83,-77.9
816,Mont Alto,1736,33.4,63591,48.3,51.7,24662,146852," [(['White alone'], ['1,568']), (['Black alone'], ['66']), (['Hispanic'], ['36']), (['Two or more races'], ['21']), (['Asian alone'], ['12']), (['American Indian alone'], ['2'])] ",Franklin-County,28.001552,58.543624,13.454824,17237,39.83,-77.55
817,Orrstown,264,40.4,50408,43.6,56.4,27419,142745," [(['White alone'], ['254']), (['Black alone'], ['6']), (['Two or more races'], ['2'])] ",Franklin-County,28.001552,58.543624,13.454824,17244,40.05,-77.6
818,Rouzerville,917,50.7,54351,48.9,51.1,34268,114997," [(['White alone'], ['885']), (['Hispanic'], ['21']), (['Black alone'], ['6']), (['Two or more races'], ['4']), (['American Indian alone'], ['1'])] ",Franklin-County,28.001552,58.543624,13.454824,17250,39.73,-77.52
819,Scotland,1395,36.6,60559,63.2,36.8,30949,174700," [(['White alone'], ['1,309']), (['Black alone'], ['30']), (['Hispanic'], ['26']), (['Two or more races'], ['20']), (['Asian alone'], ['8']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Franklin-County,28.001552,58.543624,13.454824,17254,39.96,-77.59
820,State Line,2709,46.7,60559,50.3,49.7,30949,174700," [(['White alone'], ['2,483']), (['Hispanic'], ['73']), (['Black alone'], ['58']), (['Asian alone'], ['49']), (['Two or more races'], ['45']), (['Other race alone'], ['1'])] ",Franklin-County,28.001552,58.543624,13.454824,17263,39.73,-77.71
821,Waynesboro,10760,38.3,42324,48.0,52.0,23576,134130," [(['White alone'], ['9,447']), (['Hispanic'], ['478']), (['Black alone'], ['438']), (['Asian alone'], ['153']), (['American Indian alone'], ['120']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['29']), (['Two or more races'], ['29'])]",Franklin-County,28.001552,58.543624,13.454824,17268,39.75,-77.58
822,Bobtown,757,40.4,50916,50.4,49.6,25308,105996," [(['White alone'], ['722']), (['Two or more races'], ['16']), (['Hispanic'], ['11']), (['Black alone'], ['3']), (['Asian alone'], ['3']), (['American Indian alone'], ['2'])] ",Greene-County,24.200538,62.522415,13.277047,15315,39.75,-79.98
823,Brave,201,36.0,50916,37.5,62.5,25308,105996," [(['White alone'], ['198']), (['American Indian alone'], ['2']), (['Two or more races'], ['1'])] ",Greene-County,24.200538,62.522415,13.277047,15316,39.73,-80.25
824,Carmichaels,468,52.0,36931,51.3,48.7,34000,108384," [(['White alone'], ['467']), (['Two or more races'], ['10']), (['Black alone'], ['4']), (['Hispanic'], ['2'])] ",Greene-County,24.200538,62.522415,13.277047,15320,39.89,-79.97
825,Clarksville,230,49.9,61162,48.9,51.1,25622,69557," [(['White alone'], ['224']), (['Black alone'], ['5']), (['Hispanic'], ['1'])] ",Greene-County,24.200538,62.522415,13.277047,15322,39.97,-80.04
826,Crucible,725,27.2,50916,39.3,60.7,25308,105996," [(['White alone'], ['705']), (['Two or more races'], ['10']), (['Hispanic'], ['7']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Greene-County,24.200538,62.522415,13.277047,15325,39.93,-79.95
827,Greensboro,258,45.0,46001,45.2,54.8,23317,70076," [(['White alone'], ['246']), (['Two or more races'], ['6']), (['Black alone'], ['4']), (['Hispanic'], ['3']), (['American Indian alone'], ['1'])] ",Greene-County,24.200538,62.522415,13.277047,15338,39.79,-79.91
828,Mather,737,55.2,50916,44.5,55.5,25308,105996," [(['White alone'], ['709']), (['Hispanic'], ['11']), (['Black alone'], ['8']), (['Two or more races'], ['6']), (['American Indian alone'], ['3'])] ",Greene-County,24.200538,62.522415,13.277047,15346,39.95,-80.09
829,Mount Morris,737,48.6,50916,44.1,55.9,25308,105996," [(['White alone'], ['729']), (['Two or more races'], ['4']), (['Black alone'], ['2']), (['American Indian alone'], ['2'])] ",Greene-County,24.200538,62.522415,13.277047,15349,39.75,-80.11
830,Nemacolin,937,42.2,32693,47.4,52.6,26404,30107," [(['White alone'], ['915']), (['Two or more races'], ['9']), (['Black alone'], ['5']), (['Hispanic'], ['4']), (['American Indian alone'], ['2']), (['Asian alone'], ['1']), (['Other race alone'], ['1'])] ",Greene-County,24.200538,62.522415,13.277047,15351,39.87,-79.92
831,Rices Landing,449,48.2,48270,47.6,52.4,24211,107658," [(['White alone'], ['450']), (['Black alone'], ['6']), (['Hispanic'], ['4']), (['Two or more races'], ['3'])] ",Greene-County,24.200538,62.522415,13.277047,15357,39.94,-79.99
832,Rogersville,249,36.7,50916,42.6,57.4,25308,105996," [(['White alone'], ['242']), (['Hispanic'], ['4']), (['Two or more races'], ['3'])] ",Greene-County,24.200538,62.522415,13.277047,15359,39.9,-80.28
833,Waynesburg,4131,28.1,47427,48.4,51.6,21703,94058," [(['White alone'], ['3,984']), (['Black alone'], ['73']), (['Two or more races'], ['56']), (['Hispanic'], ['31']), (['Asian alone'], ['20']), (['American Indian alone'], ['8']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3']), (['Other race alone'], ['1'])]",Greene-County,24.200538,62.522415,13.277047,15370,39.89,-80.18
834,Wind Ridge,215,48.5,50916,54.3,45.7,25308,105996," [(['White alone'], ['214']), (['Two or more races'], ['1'])] ",Greene-County,24.200538,62.522415,13.277047,15380,39.88,-80.46
835,Boiling Springs,3225,46.1,76337,47.1,52.9,38472,262025," [(['White alone'], ['3,051']), (['Hispanic'], ['68']), (['Asian alone'], ['44']), (['Two or more races'], ['38']), (['Black alone'], ['19']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Cumberland-County,41.619772,49.751666,8.628561,17007,40.15,-77.13
836,Camp Hill,7892,40.2,72048,48.4,51.6,38796,218789," [(['White alone'], ['6,759']), (['Asian alone'], ['540']), (['Hispanic'], ['222']), (['Black alone'], ['212']), (['Two or more races'], ['156']), (['American Indian alone'], ['8'])] ",Cumberland-County,41.619772,49.751666,8.628561,17001,40.24,-76.92
837,Carlisle,18916,31.9,47638,49.4,50.6,28086,175345," [(['White alone'], ['15,087']), (['Black alone'], ['1,400']), (['Two or more races'], ['910']), (['Hispanic'], ['851']), (['Asian alone'], ['779']), (['American Indian alone'], ['17'])] ",Cumberland-County,41.619772,49.751666,8.628561,17013,40.2,-77.2
838,Enola,6111,34.7,48824,49.1,50.9,23389,139942," [(['White alone'], ['5,378']), (['Hispanic'], ['242']), (['Black alone'], ['203']), (['Two or more races'], ['154']), (['Asian alone'], ['110']), (['American Indian alone'], ['13']), (['Other race alone'], ['10']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Cumberland-County,41.619772,49.751666,8.628561,17025,40.28,-76.93
839,Lemoyne,4622,37.7,49523,48.3,51.7,34861,156651," [(['White alone'], ['3,693']), (['Black alone'], ['290']), (['Two or more races'], ['267']), (['Hispanic'], ['261']), (['Asian alone'], ['113']), (['American Indian alone'], ['12'])] ",Cumberland-County,41.619772,49.751666,8.628561,17043,40.24,-76.89
840,Mechanicsburg,8969,41.8,54354,51.2,48.8,32018,172421," [(['White alone'], ['8,275']), (['Hispanic'], ['284']), (['Black alone'], ['133']), (['Asian alone'], ['86']), (['Two or more races'], ['83']), (['American Indian alone'], ['32']), (['Other race alone'], ['35'])] ",Cumberland-County,41.619772,49.751666,8.628561,17050,40.24,-77.02
841,Mount Holly Springs,2033,38.9,48848,48.3,51.7,29566,140255," [(['White alone'], ['1,826']), (['Hispanic'], ['92']), (['Black alone'], ['54']), (['Two or more races'], ['38']), (['Asian alone'], ['7']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['6']), (['American Indian alone'], ['4']), (['Other race alone'], ['3'])]",Cumberland-County,41.619772,49.751666,8.628561,17065,40.11,-77.18
842,New Cumberland,7271,41.3,51900,47.8,52.2,31957,175240," [(['White alone'], ['6,702']), (['Black alone'], ['180']), (['Hispanic'], ['180']), (['Two or more races'], ['117']), (['Asian alone'], ['62']), (['American Indian alone'], ['3'])] ",Cumberland-County,41.619772,49.751666,8.628561,17070,40.23,-76.87
843,New Kingstown,495,48.9,72201,49.9,50.1,74939,198633," [(['White alone'], ['445']), (['Black alone'], ['14']), (['Asian alone'], ['12']), (['Hispanic'], ['12']), (['Two or more races'], ['9']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Cumberland-County,41.619772,49.751666,8.628561,17072,40.23,-77.02
844,Newburg,339,40.1,56415,46.1,53.9,27373,165319," [(['White alone'], ['329']), (['Hispanic'], ['3']), (['Two or more races'], ['2']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Cumberland-County,41.619772,49.751666,8.628561,17240,40.13,-77.55
845,Newville,1326,33.7,41836,49.8,50.2,22909,126156," [(['White alone'], ['1,288']), (['Two or more races'], ['11']), (['Hispanic'], ['10']), (['Black alone'], ['9']), (['American Indian alone'], ['4']), (['Asian alone'], ['2']), (['Other race alone'], ['2'])] ",Cumberland-County,41.619772,49.751666,8.628561,17241,40.17,-77.4
846,Plainfield,399,34.5,39800,41.2,58.8,27465,159366," [(['White alone'], ['383']), (['Hispanic'], ['7']), (['Black alone'], ['6']), (['Two or more races'], ['2']), (['Asian alone'], ['1'])] ",Cumberland-County,41.619772,49.751666,8.628561,17081,40.19,-77.42
847,Shippensburg,5542,29.7,32743,51.3,48.7,24943,154249," [(['White alone'], ['4,881']), (['Black alone'], ['225']), (['Hispanic'], ['180']), (['Two or more races'], ['119']), (['Asian alone'], ['67']), (['American Indian alone'], ['13']), (['Other race alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Cumberland-County,41.619772,49.751666,8.628561,17257,40.04,-77.52
848,Bradford,8552,37.1,36854,44.9,55.1,22351,57410," [(['White alone'], ['8,360']), (['Hispanic'], ['119']), (['Two or more races'], ['106']), (['Black alone'], ['86']), (['Asian alone'], ['64']), (['American Indian alone'], ['29']), (['Other race alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",McKean-County,24.77603,64.785321,10.438649,16701,41.96,-78.64
849,Eldred,813,46.4,43481,44.1,55.9,29040,64366," [(['White alone'], ['784']), (['Hispanic'], ['20']), (['Two or more races'], ['17']), (['Asian alone'], ['2']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",McKean-County,24.77603,64.785321,10.438649,16731,41.95,-78.38
850,Kane,3632,42.6,44097,47.1,52.9,24526,59071," [(['White alone'], ['3,642']), (['Two or more races'], ['34']), (['Hispanic'], ['25']), (['Asian alone'], ['16']), (['Black alone'], ['9']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",McKean-County,24.77603,64.785321,10.438649,16735,41.66,-78.8
851,Lewis Run,600,45.1,57016,52.3,47.7,31288,87102," [(['White alone'], ['597']), (['Two or more races'], ['10']), (['Other race alone'], ['5']), (['Hispanic'], ['4']), (['Black alone'], ['1'])] ",McKean-County,24.77603,64.785321,10.438649,16738,41.87,-78.66
852,Mount Jewett,902,36.8,41358,53.4,46.6,23018,58656," [(['White alone'], ['903']), (['Hispanic'], ['9']), (['Two or more races'], ['4']), (['American Indian alone'], ['3'])] ",McKean-County,24.77603,64.785321,10.438649,16740,41.72,-78.64
853,Port Allegany,2102,42.8,41013,49.0,51.0,23879,83572," [(['White alone'], ['2,108']), (['Two or more races'], ['22']), (['Hispanic'], ['18']), (['Black alone'], ['3']), (['Asian alone'], ['3']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",McKean-County,24.77603,64.785321,10.438649,16743,41.81,-78.27
854,Smethport,1606,48.9,51141,47.3,52.7,27326,88244," [(['White alone'], ['1,614']), (['Hispanic'], ['23']), (['Asian alone'], ['9']), (['Two or more races'], ['9'])] ",McKean-County,24.77603,64.785321,10.438649,16749,41.8,-78.44
855,Bristol,9595,38.9,43166,44.6,55.4,23819,186963," [(['White alone'], ['7,180']), (['Hispanic'], ['1,378']), (['Black alone'], ['865']), (['Two or more races'], ['215']), (['Asian alone'], ['55']), (['American Indian alone'], ['16']), (['Other race alone'], ['17'])] ",Bucks-County,46.176217,47.391071,6.432712,19007,40.1,-74.85
856,Chalfont,4077,41.9,94445,47.7,52.3,42767,333885," [(['White alone'], ['3,718']), (['Asian alone'], ['121']), (['Hispanic'], ['68']), (['Black alone'], ['57']), (['Two or more races'], ['30']), (['American Indian alone'], ['12']), (['Other race alone'], ['3'])] ",Bucks-County,46.176217,47.391071,6.432712,18914,40.28,-75.2
857,Croydon,9950,41.6,53828,51.8,48.2,25535,206104," [(['White alone'], ['7,535']), (['Hispanic'], ['1,248']), (['Black alone'], ['431']), (['Asian alone'], ['420']), (['Two or more races'], ['149']), (['American Indian alone'], ['43'])] ",Bucks-County,46.176217,47.391071,6.432712,19021,40.09,-74.89
858,Doylestown,8307,53.3,73532,45.3,54.7,47425,418727," [(['White alone'], ['7,516']), (['Hispanic'], ['426']), (['Asian alone'], ['172']), (['Black alone'], ['99']), (['Two or more races'], ['49']), (['American Indian alone'], ['1'])] ",Bucks-County,46.176217,47.391071,6.432712,18901,40.31,-75.12
859,Dublin,2148,36.9,53434,52.0,48.0,32020,306466," [(['White alone'], ['1,867']), (['Hispanic'], ['193']), (['Asian alone'], ['44']), (['Two or more races'], ['33']), (['Black alone'], ['18']), (['Other race alone'], ['3'])] ",Bucks-County,46.176217,47.391071,6.432712,18917,40.37,-75.2
860,Fairless Hills,8466,40.6,64797,49.3,50.7,30983,234144," [(['White alone'], ['7,216']), (['Asian alone'], ['470']), (['Black alone'], ['316']), (['Hispanic'], ['308']), (['Two or more races'], ['137']), (['Other race alone'], ['12']), (['American Indian alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Bucks-County,46.176217,47.391071,6.432712,19030,40.17,-74.85
861,Langhorne,1603,51.4,79374,49.0,51.0,44525,362131," [(['White alone'], ['1,460']), (['Black alone'], ['49']), (['Two or more races'], ['32']), (['Hispanic'], ['29']), (['Asian alone'], ['17']), (['American Indian alone'], ['4'])] ",Bucks-County,46.176217,47.391071,6.432712,19047,40.17,-74.91
862,Levittown,52983,39.8,72971,49.0,51.0,28699,230419," [(['White alone'], ['46,421']), (['Hispanic'], ['2,685']), (['Black alone'], ['1,904']), (['Asian alone'], ['917']), (['Two or more races'], ['826']), (['Other race alone'], ['133']), (['American Indian alone'], ['81']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['16'])]",Bucks-County,46.176217,47.391071,6.432712,19054,40.15,-74.85
863,Milford Square,897,40.5,79936,40.9,59.1,40787,322400," [(['White alone'], ['850']), (['Two or more races'], ['15']), (['Hispanic'], ['14']), (['Black alone'], ['11']), (['Asian alone'], ['6']), (['American Indian alone'], ['1'])] ",Bucks-County,46.176217,47.391071,6.432712,18935,40.43,-75.39
864,Morrisville,8631,37.8,61881,47.3,52.7,32315,209105," [(['White alone'], ['6,164']), (['Black alone'], ['1,297']), (['Hispanic'], ['888']), (['Asian alone'], ['172']), (['Two or more races'], ['176']), (['Other race alone'], ['17']), (['American Indian alone'], ['11']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Bucks-County,46.176217,47.391071,6.432712,19067,40.2,-74.78
865,New Hope,2508,48.8,73309,51.9,48.1,66328,543093," [(['White alone'], ['2,240']), (['Hispanic'], ['185']), (['Asian alone'], ['45']), (['Two or more races'], ['31']), (['Black alone'], ['23']), (['American Indian alone'], ['2']), (['Other race alone'], ['2'])] ",Bucks-County,46.176217,47.391071,6.432712,18938,40.36,-74.95
866,Newtown,2227,50.5,112674,52.5,47.5,61610,492084," [(['White alone'], ['2,142']), (['Asian alone'], ['27']), (['Two or more races'], ['26']), (['Hispanic'], ['27']), (['Black alone'], ['15']), (['Other race alone'], ['7']), (['American Indian alone'], ['4'])] ",Bucks-County,46.176217,47.391071,6.432712,18940,40.22,-74.93
867,Perkasie,8484,42.2,68021,48.9,51.1,33852,249560," [(['White alone'], ['7,990']), (['Hispanic'], ['212']), (['Two or more races'], ['109']), (['Black alone'], ['85']), (['Asian alone'], ['86']), (['American Indian alone'], ['17']), (['Other race alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Bucks-County,46.176217,47.391071,6.432712,18944,40.37,-75.29
868,Plumsteadville,2637,38.9,79936,54.0,46.0,40787,322400," [(['White alone'], ['2,432']), (['Hispanic'], ['131']), (['Asian alone'], ['29']), (['Two or more races'], ['30']), (['Black alone'], ['8']), (['Other race alone'], ['7'])] ",Bucks-County,46.176217,47.391071,6.432712,18949,40.42,-75.11
869,Quakertown,8881,39.7,53530,48.5,51.5,28638,184790," [(['White alone'], ['7,906']), (['Hispanic'], ['537']), (['Black alone'], ['205']), (['Asian alone'], ['179']), (['Two or more races'], ['130']), (['Other race alone'], ['12']), (['American Indian alone'], ['8']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Bucks-County,46.176217,47.391071,6.432712,18951,40.43,-75.34
870,Richboro,6563,47.9,119815,48.0,52.0,48101,420175," [(['White alone'], ['6,196']), (['Asian alone'], ['205']), (['Hispanic'], ['82']), (['Two or more races'], ['43']), (['Black alone'], ['28']), (['American Indian alone'], ['7']), (['Other race alone'], ['2'])] ",Bucks-County,46.176217,47.391071,6.432712,18954,40.22,-75.0
871,Richlandtown,1316,38.8,65239,46.6,53.4,28763,220279," [(['White alone'], ['1,250']), (['Hispanic'], ['42']), (['Black alone'], ['14']), (['Two or more races'], ['15']), (['Asian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Bucks-County,46.176217,47.391071,6.432712,18955,40.47,-75.32
872,Riegelsville,860,48.6,72940,50.2,49.8,43679,257527," [(['White alone'], ['840']), (['Hispanic'], ['17']), (['Two or more races'], ['4']), (['Black alone'], ['2']), (['American Indian alone'], ['2']), (['Asian alone'], ['2']), (['Other race alone'], ['1'])] ",Bucks-County,46.176217,47.391071,6.432712,18077,40.59,-75.19
873,Sellersville,4222,41.3,66805,49.1,50.9,33250,204449," [(['White alone'], ['3,891']), (['Two or more races'], ['153']), (['Black alone'], ['75']), (['Hispanic'], ['59']), (['Asian alone'], ['25']), (['American Indian alone'], ['5'])] ",Bucks-County,46.176217,47.391071,6.432712,18960,40.36,-75.3
874,Silverdale,859,42.8,71839,49.6,50.4,33711,275530," [(['White alone'], ['847']), (['Hispanic'], ['12']), (['Black alone'], ['7']), (['Two or more races'], ['3']), (['American Indian alone'], ['2'])] ",Bucks-County,46.176217,47.391071,6.432712,18962,40.34,-75.27
875,Spinnerstown,1826,41.1,79936,51.9,48.1,40787,322400," [(['White alone'], ['1,698']), (['Hispanic'], ['36']), (['Asian alone'], ['35']), (['Two or more races'], ['31']), (['Black alone'], ['23']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2']), (['American Indian alone'], ['1'])]",Bucks-County,46.176217,47.391071,6.432712,18968,40.43,-75.43
876,Trumbauersville,962,37.3,73044,53.5,46.5,34289,236627," [(['White alone'], ['929']), (['Hispanic'], ['30']), (['Asian alone'], ['8']), (['American Indian alone'], ['3']), (['Two or more races'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Bucks-County,46.176217,47.391071,6.432712,18970,40.41,-75.37
877,Bruin,509,39.2,51121,47.2,52.8,23424,91748," [(['White alone'], ['506']), (['Hispanic'], ['10']), (['American Indian alone'], ['4']), (['Asian alone'], ['2']), (['Two or more races'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16022,41.05,-79.72
878,Butler,13369,38.5,30911,49.9,50.1,21479,98485," [(['White alone'], ['12,215']), (['Black alone'], ['483']), (['Hispanic'], ['283']), (['Two or more races'], ['252']), (['American Indian alone'], ['26']), (['Asian alone'], ['26']), (['Other race alone'], ['17']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['10'])]",Butler-County,42.915945,50.596342,6.4877129999999985,16001,40.86,-79.89
879,Callery,389,36.6,81269,52.4,47.6,30071,160398," [(['White alone'], ['379']), (['Two or more races'], ['11']), (['Asian alone'], ['2']), (['Hispanic'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16024,40.73,-80.03
880,Chicora,1012,43.1,49417,48.7,51.3,27424,116235," [(['White alone'], ['1,029']), (['Two or more races'], ['5']), (['Hispanic'], ['4']), (['Asian alone'], ['3']), (['Black alone'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16025,40.94,-79.74
881,Connoquenessing,602,37.7,71511,53.9,46.1,35012,163072," [(['White alone'], ['521']), (['Asian alone'], ['3']), (['Two or more races'], ['3']), (['American Indian alone'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16027,40.81,-80.01
882,East Butler,710,45.1,48500,51.6,48.4,25471,114738," [(['White alone'], ['708']), (['Two or more races'], ['12']), (['Hispanic'], ['7']), (['Black alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Butler-County,42.915945,50.596342,6.4877129999999985,16029,40.87,-79.84
883,Eau Claire,302,40.8,47517,51.0,49.0,20813,93245," [(['White alone'], ['314']), (['Black alone'], ['1']), (['Two or more races'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16030,41.13,-79.79
884,Evans City,1783,45.0,48747,51.6,48.4,30123,162858," [(['White alone'], ['1,794']), (['Hispanic'], ['15']), (['Asian alone'], ['10']), (['Two or more races'], ['10']), (['Black alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Butler-County,42.915945,50.596342,6.4877129999999985,16033,40.76,-80.05
885,Harmony,868,43.1,65439,47.2,52.8,34417,184244," [(['White alone'], ['865']), (['Hispanic'], ['13']), (['Two or more races'], ['8']), (['Asian alone'], ['3']), (['Black alone'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16037,40.8,-80.12
886,Harrisville,885,42.0,60859,49.2,50.8,26929,123507," [(['White alone'], ['867']), (['Black alone'], ['11']), (['Two or more races'], ['9']), (['Hispanic'], ['9']), (['American Indian alone'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16038,41.13,-80.01
887,Karns City,210,47.6,27855,44.3,55.7,17297,99661,*,Butler-County,42.915945,50.596342,6.4877129999999985,16041,40.99,-79.72
888,Mars,1663,42.4,58331,49.0,51.0,34692,181357," [(['White alone'], ['1,637']), (['Hispanic'], ['24']), (['Asian alone'], ['14']), (['Two or more races'], ['14']), (['Black alone'], ['10'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16046,40.69,-80.01
889,Petrolia,208,46.9,45223,50.3,49.7,19992,61486," [(['White alone'], ['211']), (['Hispanic'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16050,41.02,-79.71
890,Portersville,237,47.6,59772,51.2,48.8,31562,145107," [(['White alone'], ['233']), (['Hispanic'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16051,40.92,-80.14
891,Prospect,1144,46.4,55403,54.1,45.9,26375,131420," [(['White alone'], ['1,176']), (['Hispanic'], ['23']), (['Two or more races'], ['13']), (['American Indian alone'], ['10']), (['Asian alone'], ['4']), (['Other race alone'], ['4']), (['Black alone'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16052,40.9,-80.04
892,Saxonburg,1498,54.2,46315,43.2,56.8,29667,179112," [(['White alone'], ['1,504']), (['Hispanic'], ['10']), (['Two or more races'], ['8']), (['Asian alone'], ['3'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16056,40.75,-79.81
893,Slippery Rock,3576,22.1,42929,47.0,53.0,21364,179325," [(['White alone'], ['3,237']), (['Black alone'], ['195']), (['Asian alone'], ['80']), (['Two or more races'], ['66']), (['Hispanic'], ['41']), (['American Indian alone'], ['4']), (['Other race alone'], ['2'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16057,41.07,-80.06
894,Valencia,574,70.8,47189,46.0,54.0,35463,168418," [(['White alone'], ['547']), (['Hispanic'], ['2']), (['Black alone'], ['1']), (['Asian alone'], ['1'])] ",Butler-County,42.915945,50.596342,6.4877129999999985,16059,40.67,-79.98
