,County,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic
653,LEHIGH,2792,FRANCIS D RAUB MS,2.94,13.86,31.33,51.88
654,LEHIGH,6593,FRANCIS H SHECKLER EL SCH,24.75,36.08,25.44,13.77
655,ELK,7413,FRANCIS S GRANDINETTI ES,31.28,38.33,21.87,8.5
656,MONTGOMERY,3266,FRANCONIA EL SCH,37.98,43.54,12.74,5.77
657,PHILADELPHIA,3803,FRANK ANNE SCH,21.06,40.79,24.98,13.17
658,VENANGO,6984,FRANKLIN AREA MS,13.78,31.96,27.82,26.44
659,PHILADELPHIA,7231,FRANKLIN BENJAMIN,1.47,13.96,29.92,54.64
660,MONTGOMERY,3339,FRANKLIN EL SCH,39.7,29.27,18.47,12.54
661,WESTMORELAND,7602,FRANKLIN REGIONAL MS,33.05,39.39,18.87,8.65
662,FAYETTE,6007,FRANKLIN SCH,11.61,41.94,27.06,19.34
663,PHILADELPHIA,8123,FRANKLIN TOWNE CHARTER EL SCH,17.69,40.95,26.24,15.12
664,ADAMS,8176,FRANKLIN TWP EL SCH,23.22,40.51,25.45,10.87
665,BLAIR,6195,FRANKSTOWN EL SCH,27.74,39.86,20.84,11.5
666,FAYETTE,6686,FRAZIER EL SCH,18.2,34.83,30.0,17.03
667,FAYETTE,7176,FRAZIER MS,14.86,32.55,30.27,22.23
668,LEHIGH,8141,FRED J JAINDL ES,48.49,35.55,11.97,4.05
669,ALLEGHENY,203,FRED L AIKEN EL SCH,27.3,43.22,22.3,7.29
670,CHESTER,5216,FRED S ENGLE MS,28.19,38.44,21.81,11.52
671,PHILADELPHIA,8150,FREDERICK DOUGLASS MASTERY CHA,1.25,12.28,32.46,54.11
672,LEBANON,2755,FREDERICKSBURG EL SCH,22.68,43.96,24.12,9.16
673,BEAVER,8357,FREEDOM AREA EL SCH,17.34,39.08,33.29,10.27
674,BEAVER,8356,FREEDOM AREA MS,13.72,37.38,30.31,18.62
675,LUZERNE,6718,FREELAND EL/MS,9.19,26.84,30.61,33.37
676,NORTHAMPTON,3458,FREEMANSBURG EL SCH,5.99,23.25,34.26,36.45
677,ARMSTRONG,8346,FREEPORT AREA MS,25.55,44.66,21.27,8.53
678,PHILADELPHIA,7586,FREIRE CS,3.19,20.45,37.88,38.45
679,CHESTER,7197,FRENCH CREEK EL SCH,46.15,36.11,14.03,3.7
680,YORK,4613,FRIENDSHIP EL SCH,21.69,39.22,24.5,14.57
681,FAYETTE,4922,FRIENDSHIP HILL EL SCH,10.05,30.54,25.71,33.7
682,LANCASTER,5113,FRITZ EL SCH,34.01,37.61,19.56,8.86
683,ALLEGHENY,6026,FULTON ACADEMY OF SCIENCE,15.51,32.72,31.18,20.55
684,LANCASTER,2581,FULTON EL SCH,7.98,23.47,28.35,40.22
685,LANCASTER,2563,FULTON ELEM SCH,39.01,33.01,16.25,11.77
686,LUZERNE,3008,G A R MEMORIAL JSHS,0.98,13.7,31.41,53.91
687,CUMBERLAND,1724,G B LUHRS UNIV EL SCH,30.48,32.46,23.86,13.24
688,POTTER,6223,GALETON AREA SCH,12.93,40.9,25.83,20.29
689,LANCASTER,7209,GARDEN SPOT MS,24.66,35.02,26.3,14.02
690,DELAWARE,7486,GARNET VALLEY EL,40.28,40.98,15.06,3.77
691,DELAWARE,7313,GARNET VALLEY MS,33.94,39.8,19.11,7.21
692,DELAWARE,1964,GARRETTFORD EL SCH,12.23,35.56,29.49,22.75
693,ALLEGHENY,167,GATEWAY MS,19.51,34.32,26.77,19.36
694,BUCKS,1048,GAYMAN EL SCH,37.1,43.28,14.78,4.85
695,PHILADELPHIA,3630,GEN GEORGE C MEADE SCH,0.0,5.54,28.16,66.3
696,MONTGOMERY,6907,GENERAL NASH EL SCH,41.35,36.74,14.03,7.87
697,CHESTER,7695,GENERAL WAYNE EL SCH,33.15,42.72,17.62,6.52
698,LYCOMING,3018,GEORGE A FERRELL EL,44.97,38.49,13.48,3.01
699,LACKAWANNA,2476,GEORGE BANCROFT NO 34,13.75,26.18,29.22,30.88
700,LEHIGH,6841,GEORGE D STECKEL EL SCH,20.07,41.94,25.66,12.34
701,FAYETTE,2129,GEORGE J PLAVA EL SCH,11.51,32.58,27.51,28.39
702,LANCASTER,2589,GEORGE WASHINGTON EL,11.85,29.52,27.09,31.56
703,NORTHAMPTON,5062,GEORGE WOLF ELEM SCHOOL,15.8,40.42,27.77,15.96
704,ADAMS,10,GETTYSBURG AREA MS,31.68,36.01,23.87,8.44
705,ADAMS,8147,GETTYSBURG MONTESSORI CHARTER,11.38,34.11,29.24,25.18
706,PHILADELPHIA,3625,GIDEON EDWARD SCH,0.53,9.69,28.04,61.73
707,BERKS,754,GILBERTSVILLE EL SCH,42.37,37.49,14.28,5.91
708,ALLEGHENY,516,GILL HALL EL SCH,40.49,38.36,18.06,3.05
709,SCHUYLKILL,8161,GILLINGHAM CS,5.46,18.21,28.62,47.75
710,PHILADELPHIA,7664,GIRARD ACAD MUSIC PROG,34.91,44.99,16.62,3.53
711,PHILADELPHIA,3776,GIRARD STEPHEN SCH,3.19,18.23,26.83,51.77
712,MONTGOMERY,3291,GLADWYNE SCH,55.45,32.19,9.79,2.6
713,CHESTER,4812,GLEN ACRES EL SCH,41.4,37.15,16.31,5.09
714,CLEARFIELD,6952,GLENDALE EL SCH,16.58,36.84,28.65,17.93
715,CLEARFIELD,5219,GLENDALE JSHS,6.43,32.37,37.53,23.71
716,DELAWARE,1881,GLENOLDEN SCH,18.76,40.09,27.2,14.0
717,MONTGOMERY,3256,GLENSIDE EL SCH,26.82,27.23,26.18,19.78
718,DELAWARE,1940,GLENWOOD EL SCH,41.9,37.11,16.77,4.16
719,PHILADELPHIA,7639,GLOBAL LEADERSHIP ACADEMY CS,2.67,21.72,35.1,40.6
720,LUZERNE,7768,GNA ELEM CTR,9.4,31.05,29.45,30.1
721,PHILADELPHIA,3668,GOMPERS SAMUEL SCH,1.96,17.03,34.9,46.19
722,CUMBERLAND,4849,GOOD HOPE MS,38.43,36.16,17.57,7.87
723,YORK,8240,GOODE SCH,2.18,17.54,33.11,47.23
724,BUCKS,1086,GOODNOE EL SCH,47.33,33.92,13.98,4.79
725,MONTGOMERY,5080,GOTWALS EL SCH,13.35,28.9,31.56,26.24
726,BERKS,801,GOVERNOR MIFFLIN MS,18.15,37.24,27.92,16.65
727,NORTHAMPTON,3449,GOVERNOR WOLF EL SCH,17.24,36.49,32.53,13.77
728,DELAWARE,1928,GRACE PARK EL SCH,21.56,44.14,21.1,13.2
729,NORTHUMBERLAND,6357,GRACE S BECK SCH,13.33,30.52,32.62,23.48
730,FRANKLIN,2208,GRANDVIEW EL SCH,20.38,35.28,25.72,18.59
731,WESTMORELAND,6927,GRANDVIEW INTRMD SCH,24.95,40.93,22.36,11.77
732,ALLEGHENY,191,GRANDVIEW UPPER EL SCH,11.36,35.59,30.14,22.86
733,BUCKS,1055,GRASSE SCHOOL,37.86,41.06,14.78,6.4
734,CENTRE,7735,GRAYS WOOD EL,39.55,37.81,14.98,7.67
735,CHESTER,1422,GREAT VALLEY MS,42.52,37.68,14.2,5.64
736,CAMBRIA,1252,GREATER JOHNSTOWN MS,2.63,14.55,34.13,48.69
737,WESTMORELAND,6957,GREATER LATROBE JHS,23.64,36.17,25.74,14.49
738,LUZERNE,7610,GREATER NANTICOKE AREA ED CTR,4.25,23.37,36.26,36.12
739,CUMBERLAND,1700,GREEN RIDGE EL SCH,40.42,42.55,12.52,4.51
740,BERKS,8234,GREEN VALLEY EL SCH,41.94,37.02,13.67,7.35
741,PHILADELPHIA,7748,GREEN WOODS CS,23.0,37.28,28.08,11.6
742,PHILADELPHIA,4726,GREENBERG JOSEPH SCH,25.81,40.43,23.88,9.88
743,FRANKLIN,2202,GREENCASTLE-ANTRIM ELEM,23.66,38.9,24.09,13.33
744,FRANKLIN,5117,GREENCASTLE-ANTRIM MIDDLE,23.56,37.66,25.5,13.27
745,PHILADELPHIA,5186,GREENFIELD ALBERT SCH,32.61,30.77,21.82,14.8
746,ALLEGHENY,6028,GREENFIELD EL SCH,19.38,32.37,26.99,21.22
747,WESTMORELAND,4372,GREENSBURG-SALEM MS,20.12,36.64,28.81,14.5
748,MERCER,3137,GREENVILLE JSHS,23.66,32.9,27.31,16.11
749,BERKS,810,GREENWICH-LENHARTSVI,21.95,41.18,26.26,10.57
750,PERRY,7062,GREENWOOD EL SCH,30.34,34.7,23.0,11.96
751,PERRY,7468,GREENWOOD MS,21.98,39.85,24.93,13.23
752,MERCER,8202,GROVE CITY AREA MS,17.37,33.93,30.51,18.18
753,BUCKS,7653,GROVELAND ELEMENTARY SCHOOL,41.15,36.94,16.03,5.84
754,PHILADELPHIA,7663,GROVER WASHINGTON MS,4.57,19.41,33.6,42.39
755,FRANKLIN,2215,GUILFORD HILLS EL SCH,21.8,39.56,21.81,16.87
756,BUCKS,1097,GUTH SCHOOL,33.3,35.36,20.17,11.16
757,MONTGOMERY,4831,GWYN-NOR EL SCH,29.11,38.99,21.13,10.78
758,MONTGOMERY,7314,GWYNEDD SQUARE EL SCH,40.82,40.4,13.36,5.41
759,WESTMORELAND,4512,H W GOOD EL SCH,16.81,44.74,29.04,9.45
760,PHILADELPHIA,5120,HACKETT HORATIO B SCH,10.1,28.55,37.55,23.85
761,WESTMORELAND,8101,HAHNTOWN ELEM SCHOOL,38.5,38.89,15.71,6.88
762,BUTLER,4907,HAINE EL SCH,43.76,34.62,13.62,8.01
763,BUTLER,7489,HAINE MS,31.6,43.35,18.3,6.75
764,DAUPHIN,5038,HALIFAX AREA EL SCH,23.74,39.08,19.22,18.0
765,DAUPHIN,6331,HALIFAX AREA MS,9.18,30.5,37.08,23.23
766,MONTGOMERY,3271,HALLOWELL EL SCH,30.89,44.59,16.91,7.57
767,LANCASTER,2626,HAMBRIGHT EL SCH,15.43,37.9,31.86,14.82
768,BERKS,7447,HAMBURG AREA MS,11.81,35.25,34.24,18.67
769,PHILADELPHIA,5185,HAMILTON ANDREW SCH,4.01,16.25,30.35,49.43
770,LANCASTER,2592,HAMILTON EL SCH,11.13,30.05,27.93,30.9
771,FRANKLIN,6274,HAMILTON HEIGHTS EL,15.14,36.23,27.46,21.23
772,CUMBERLAND,5020,HAMPDEN EL SCH,41.9,36.64,16.29,5.19
773,ALLEGHENY,179,HAMPTON MS,39.92,39.1,16.54,4.48
774,ALLEGHENY,7998,HANCE EL SCH,49.75,40.11,7.64,2.56
775,MONTGOMERY,3318,HANCOCK EL SCH,11.15,33.62,31.36,23.89
776,PHILADELPHIA,5041,HANCOCK JOHN SCH,14.63,39.27,25.5,20.6
777,LANCASTER,2593,HAND MS,2.71,15.62,36.06,45.65
778,YORK,8291,HANNAH PENN MS,1.54,8.92,29.66,59.84
779,LUZERNE,2891,HANOVER AREA JSHS,6.76,27.21,29.13,36.86
780,LUZERNE,7007,HANOVER AREA MEMORIA,7.59,29.63,34.31,28.47
781,NORTHAMPTON,3459,HANOVER EL SCH,45.28,41.19,11.48,2.02
782,YORK,4570,HANOVER MS,15.78,33.97,29.18,21.11
783,YORK,4566,HANOVER STREET EL SCH,22.35,34.12,25.08,18.43
784,LANCASTER,2606,HANS HERR EL SCH,37.54,39.17,16.29,7.04
785,ERIE,2048,HARBOR CREEK JUNIOR HS,19.95,38.99,30.24,10.87
786,LEBANON,6616,HARDING EL SCH,13.43,30.18,28.58,27.8
787,PHILADELPHIA,7242,HARDING WARREN G MS,1.11,10.17,23.96,64.76
788,BRADFORD,8220,HARLAN ROWE MS,11.92,30.91,34.67,22.53
789,CLEARFIELD,7195,HARMONY AREA EL SCH,29.2,33.55,25.38,11.92
790,CLEARFIELD,8316,HARMONY AREA JSHS,11.21,41.58,33.6,13.61
791,PHILADELPHIA,6528,HARRINGTON AVERY D SCH,1.01,17.31,32.11,49.57
792,DELAWARE,6501,HARRIS EL SCH,7.86,25.58,32.53,34.0
793,ALLEGHENY,6787,HARRISON MS,16.04,39.6,29.72,14.64
794,WESTMORELAND,6185,HARRISON PARK EL SCH,33.63,37.92,22.05,6.32
795,LEHIGH,2791,HARRISON-MORTON MS,3.35,17.58,30.19,48.84
796,WESTMORELAND,7268,HARROLD MS,25.79,43.19,22.98,8.04
797,LEHIGH,6864,HARRY S TRUMAN EL SCH,14.57,35.76,30.54,19.13
798,COLUMBIA,6900,HARTMAN EL CTR,26.52,43.78,21.57,8.09
799,LAWRENCE,8166,HARTMAN INTRMDT SCH,23.75,41.3,23.3,11.65
800,PHILADELPHIA,5125,HARTRANFT JOHN F SCH,0.53,10.18,28.82,60.47
801,ALLEGHENY,6780,HARTWOOD EL SCH,52.23,29.63,14.08,4.11
802,VENANGO,4115,HASSON HEIGHTS SCH,16.26,36.43,27.86,19.47
803,MONTGOMERY,5344,HATFIELD EL SCH,18.78,40.78,24.09,16.32
804,DELAWARE,1878,HAVERFORD MS,35.13,39.99,18.01,6.91
805,YORK,4537,HAYSHIRE EL SCH,19.1,43.4,28.13,9.36
806,LUZERNE,7936,HAZLETON ELEM/ MS,3.33,21.2,28.52,47.01
807,SCHUYLKILL,3955,HEGINS-HUBLEY EL SCH,16.49,37.52,24.95,21.04
808,LUZERNE,6930,HEIGHTS TERRACE EL/MIDDLE,5.7,23.86,33.61,36.74
809,LUZERNE,6923,HEIGHTS-MURRAY EL SCH,4.57,17.7,34.23,43.54
810,YORK,8041,HELEN THACKSTON CHARTER SCHOOL,2.12,14.6,35.11,48.19
811,MERCER,3133,HEMPFIELD EL SCH,23.85,37.5,25.0,13.7
812,LYCOMING,6367,HEPBURN-LYCOMING EL,34.4,34.4,18.75,12.5
813,BUCKS,7128,HERBERT HOOVER ES,35.74,37.23,20.98,6.05
814,MONTGOMERY,7073,HEREFORD EL SCH,23.64,41.75,26.34,8.28
815,WESTMORELAND,7163,HERITAGE EL SCH,31.02,45.02,17.35,6.62
816,DAUPHIN,7186,HERSHEY INTRMD ELEM SCH,39.04,35.08,16.26,9.69
817,DAUPHIN,6678,HERSHEY MS,35.97,37.75,18.37,7.91
818,DAUPHIN,1749,HERSHEY PRIMARY ELEMENTARY SCH,31.25,42.85,18.1,7.8
819,PHILADELPHIA,5187,HESTON EDWARD ELEMENTARY,0.53,10.52,36.85,52.1
820,JEFFERSON,5231,HICKORY GROVE EL SCH,23.79,40.18,25.45,10.63
821,MERCER,3150,HICKORY HS,24.14,37.84,21.09,16.97
822,ALLEGHENY,8142,HIGHCLIFF ES,33.57,41.11,17.92,7.4
823,YORK,1736,HIGHLAND EL SCH,19.61,33.67,24.81,21.88
824,BEAVER,6558,HIGHLAND MS,17.98,39.64,29.64,12.78
825,DELAWARE,1965,HIGHLAND PARK EL SCH,14.96,36.88,28.44,19.75
826,MONTGOMERY,3229,HIGHLAND SCH,37.12,42.09,15.41,5.39
827,ALLEGHENY,7202,HIGHLANDS MS,10.45,30.43,35.84,23.24
828,PHILADELPHIA,7229,HILL-FREEDMAN,22.63,57.67,16.61,3.13
829,DELAWARE,1966,HILLCREST EL SCH,27.85,38.71,22.91,10.5
830,WESTMORELAND,7758,HILLCREST INTERMEDIATE SCHOOL,31.9,39.74,20.7,7.55
831,CHESTER,7214,HILLENDALE,67.02,22.95,7.83,2.19
832,WASHINGTON,4938,HILLS-HENDERSONVILLE,37.08,44.34,13.12,5.41
833,CHESTER,6910,HILLSDALE EL SCH,48.29,34.21,10.28,7.28
834,YORK,1716,HILLSIDE EL SCH,35.49,39.0,14.71,10.83
835,DELAWARE,5322,HILLTOP EL SCH,17.16,40.69,24.07,18.0
836,MERCER,6844,HILLVIEW EL SCH,30.09,39.7,22.08,8.21
837,LEHIGH,2768,HIRAM W DODD EL SCH,14.63,34.57,30.75,20.05
838,BUCKS,5307,HOLICONG MS,43.48,37.94,13.81,4.77
839,ALLEGHENY,8354,HOLIDAY PARK EL SCH,27.82,43.28,20.93,7.96
840,BUCKS,4680,HOLLAND EL SCH,31.03,44.29,18.57,6.11
841,BUCKS,6833,HOLLAND MIDDLE SCHOOL,23.33,39.32,24.89,12.43
842,BLAIR,927,HOLLIDAYSBURG AREA J,19.05,38.54,27.07,15.3
843,INDIANA,6797,HOMER-CENTER EL SCH,17.16,40.95,27.55,14.29
844,INDIANA,2331,HOMER-CENTER JSHS,15.67,35.26,28.6,20.47
845,ALLEGHENY,532,HOMEVILLE EL SCH,18.4,37.35,25.3,19.0
846,BERKS,872,HONEY BROOK EL CTR,29.85,42.58,20.17,7.4
847,ALLEGHENY,251,HOOVER EL SCH,41.43,43.16,13.34,2.11
848,FRANKLIN,2234,HOOVERVILLE EL SCH,28.29,42.23,21.67,7.76
849,BEDFORD,8154,HOPE FOR HYNDMAN CS,5.96,22.63,32.12,39.33
850,LEHIGH,8072,HOPEWELL EL SCH,21.8,38.95,24.77,14.53
851,BEAVER,672,HOPEWELL ELEM SCH,25.86,38.36,25.58,10.17
852,BEAVER,674,HOPEWELL JHS,14.74,37.75,31.67,15.8
853,PHILADELPHIA,3742,HOPKINSON FRANCIS SCH,2.95,15.62,30.8,50.55
854,INDIANA,2322,HORACE MANN EL SCH,32.98,38.78,22.18,6.01
855,ALLEGHENY,6603,HOSACK EL SCH,52.33,35.66,9.57,2.48
856,LEBANON,5337,HOUCK EL SCH,13.1,36.29,27.76,22.88
857,CENTRE,1357,HOUSERVILLE/LEMONT E,35.74,38.64,16.72,8.9
858,PHILADELPHIA,3713,HOUSTON HENRY E SCH,2.28,17.86,31.21,48.69
859,CENTRE,1333,HOWARD EL SCH,47.36,36.85,13.66,2.13
860,LACKAWANNA,8209,HOWARD GARDNER MULTIPLE INTELL,22.65,42.25,25.67,9.43
861,ALLEGHENY,248,HOWE EL SCH,42.71,45.21,9.53,2.51
862,PHILADELPHIA,3743,HOWE JULIA WARD SCH,1.66,13.19,32.54,52.64
863,PHILADELPHIA,3807,HUEY SAMUEL B SCH,0.17,8.71,24.63,66.49
864,LYCOMING,6364,HUGHESVILLE JSHS,14.0,39.36,30.26,16.44
865,PHILADELPHIA,3693,HUNTER WILLIAM EL,1.29,12.91,31.21,54.62
866,HUNTINGDON,5333,HUNTINGDON AREA MS,12.5,31.53,31.06,24.91
867,FAYETTE,4700,HUTCHINSON EL SCH,13.6,37.27,29.27,19.83
868,VENANGO,1666,HYDETOWN EL  SCHOOL,26.0,39.79,25.33,8.89
869,MONROE,8355,Hamilton TWP EL SCH,32.24,33.64,25.81,8.31
870,PHILADELPHIA,7579,IMANI EDUCATION CIRCLE CS,2.06,18.16,34.8,44.98
871,PHILADELPHIA,7683,INDEPENDENCE CS,20.89,34.86,27.93,16.34
872,BEAVER,671,INDEPENDENCE ELEM SCH,27.22,49.59,19.1,4.05
873,ALLEGHENY,61,INDEPENDENCE MS,29.35,44.52,19.42,6.71
874,MONTGOMERY,8062,INDIAN CREST MS,18.35,36.95,28.89,15.76
875,DELAWARE,7365,INDIAN LANE EL SCH,48.59,38.21,10.37,2.83
876,YORK,6688,INDIAN ROCK EL SCH,47.56,34.82,13.41,4.25
877,MIFFLIN,8182,INDIAN VALLEY EL SCH,18.15,40.15,25.3,16.5
878,MIFFLIN,8183,INDIAN VALLEY INTRMD SCH,20.71,39.13,23.81,16.37
879,MONTGOMERY,4722,INDIAN VALLEY MS,29.97,40.03,20.31,9.74
880,INDIANA,2324,INDIANA AREA JHS,29.27,35.08,22.78,12.91
881,DAUPHIN,7765,INFINITY CHARTER SCHOOL,52.97,30.88,14.24,1.96
882,MONTGOMERY,3379,INGLEWOOD EL SCH,29.26,40.89,19.95,9.94
883,ALLEGHENY,266,INGOMAR EL SCH,37.9,43.24,14.15,4.71
884,ALLEGHENY,270,INGOMAR MS,41.01,40.11,13.42,5.45
885,BERKS,6794,INTERMEDIATE SCH,19.15,37.39,27.7,15.75
886,MERCER,3147,IONTA  EL SCH,31.96,41.83,18.63,7.59
887,CUMBERLAND,6853,IRON FORGE EDUC CTR,28.21,39.22,22.52,10.09
888,LEHIGH,2823,IRONTON SCH,36.19,43.47,16.6,3.74
889,ERIE,2052,IROQUOIS ELEM SCHOOL,17.71,40.52,27.34,14.38
890,ERIE,4817,IROQUOIS JSHS,13.67,34.8,33.71,17.86
891,BLAIR,908,IRVING EL SCH,24.48,46.26,21.1,8.16
892,LACKAWANNA,2481,ISAAC TRIPP EL SCH,12.61,30.33,28.48,28.59
893,DELAWARE,6510,ITHAN ELEMENTARY,59.88,28.2,7.24,4.68
894,MONROE,3204,J M HILL EL SCH,25.24,41.95,21.41,11.41
895,CHESTER,5137,J R FUGETT MS,37.89,35.71,17.61,8.75
896,MONROE,7366,J T LAMBERT INTERMED,12.22,32.82,32.51,22.45
897,ALLEGHENY,229,J W BURKETT EL SCH,37.97,40.54,15.49,6.0
898,ALLEGHENY,8347,J.A. ALLARD INTERMEDIATE SCH,39.35,38.77,17.13,4.75
899,PHILADELPHIA,3642,JACKSON ANDREW SCH,6.45,25.09,30.93,37.57
900,LYCOMING,3058,JACKSON EL SCH,21.7,39.26,23.95,15.07
901,YORK,8241,JACKSON SCH,1.39,11.1,30.43,57.08
902,BERKS,6731,JACKSONWALD EL SCH,27.76,39.21,20.76,12.29
903,NORTHAMPTON,3442,JAMES BUCHANAN EL SCH,17.15,33.66,25.69,23.48
904,FRANKLIN,6281,JAMES BUCHANAN MS,18.9,35.53,29.2,16.42
905,CUMBERLAND,7925,JAMES BURD ELEM SCHOOL,32.4,39.29,14.59,13.71
906,ADAMS,5126,JAMES GETTYS EL SCH,30.43,41.11,20.57,7.84
907,ERIE,4954,JAMES S WILSON MS,23.65,37.34,28.07,10.94
908,ERIE,5225,JAMES W PARKER MS,21.92,39.16,28.13,10.82
909,MERCER,6127,JAMESTOWN AREA EL SCH,22.07,34.07,28.38,15.49
910,MERCER,6126,JAMESTOWN AREA JSHS,18.63,35.77,28.43,17.17
911,BUCKS,7520,JAMISON EL SCH,40.47,37.91,16.53,5.1
912,MONTGOMERY,3382,JARRETTOWN EL SCH,37.78,39.3,19.01,4.01
913,WESTMORELAND,8024,JEANNETTE MCKEE ELEM,14.55,33.81,29.65,22.01
914,WESTMORELAND,8025,JEANNETTE MCKEE MS,9.32,36.89,29.33,24.42
915,LEHIGH,2808,JEFFERSON EL SCH,24.14,33.97,23.39,18.5
916,GREENE,7029,JEFFERSON-MORGAN EL,15.81,37.43,26.52,20.29
917,GREENE,2280,JEFFERSON-MORGAN JSH,11.5,38.7,30.27,19.56
918,ALLEGHENY,457,JEFFERY PRIMARY SCH,47.65,40.7,9.3,2.35
919,MONTGOMERY,3276,JENKINTOWN EL SCH,35.57,39.37,17.45,7.61
920,MONTGOMERY,8049,JENKINTOWN MIDDLE/HIGH SCH,26.96,35.03,24.38,13.63
921,PHILADELPHIA,7227,JENKS ABRAM SCH,23.83,35.78,27.02,13.33
922,JEFFERSON,8078,JENKS HILL EL SCH,15.65,43.75,15.65,25.0
923,PHILADELPHIA,3714,JENKS JOHN S SCH,9.4,25.55,32.92,32.1
924,LYCOMING,5243,JERSEY SHORE AREA EL,23.28,37.88,22.89,15.96
925,LYCOMING,3033,JERSEY SHORE AREA MIDDLE SCHOOL,19.94,38.03,27.62,14.37
926,WASHINGTON,4244,JOE WALKER EL SCH,22.87,39.1,22.52,15.5
927,LACKAWANNA,2455,JOHN ADAMS NO 4,3.36,22.11,32.33,42.11
928,PHILADELPHIA,8149,JOHN B STETSON CHARTER SCHOOL,0.39,8.27,29.7,61.66
929,LANCASTER,2661,JOHN BECK EL SCH,27.9,36.62,24.28,11.26
930,LACKAWANNA,4736,JOHN F. KENNEDY NO 7,10.17,31.55,26.94,31.3
931,LACKAWANNA,4858,JOHN G WHITTIER NO 2,13.28,28.54,27.52,30.7
932,LANCASTER,7420,JOHN R BONFIELD EL SCH,26.53,40.15,22.9,10.38
933,ELK,5326,JOHNSONBURG AREA EL,14.62,38.27,34.45,12.7
934,ELK,6218,JOHNSONBURG AREA HS,17.13,39.81,28.23,14.84
935,LEBANON,2757,JONESTOWN EL SCH,23.21,42.92,21.1,12.69
936,LYCOMING,3019,JOSEPH C ASHKAR EL SCH,38.66,40.98,15.83,4.53
937,BUCKS,1069,JOSEPH E FERDERBAR ES,31.57,37.26,22.43,8.78
938,CLEARFIELD,6157,JUNIATA EL SCH,15.11,34.95,30.88,19.04
939,BLAIR,930,JUNIATA GAP EL SCH,24.21,35.66,24.25,15.83
940,PHILADELPHIA,7963,JUNIATA PARK ACADEMY,5.15,23.53,35.17,36.15
941,HUNTINGDON,5230,JUNIATA VALLEY EL SCH,20.39,33.05,32.15,14.42
942,HUNTINGDON,2308,JUNIATA VALLEY JSHS,13.16,33.74,28.26,24.74
943,MCKEAN,5244,KANE AREA EL SCH,18.94,38.07,25.36,17.65
944,MCKEAN,3100,KANE AREA MS,13.85,35.93,29.42,20.79
945,BUTLER,1154,KARNS CITY HS,21.26,30.69,26.54,21.53
946,PHILADELPHIA,3645,KEARNY GEN PHILIP SCH,3.74,11.74,36.65,47.88
947,MONTGOMERY,6639,KEITH VALLEY MS,28.1,39.98,22.56,9.32
948,PHILADELPHIA,3626,KELLEY WILLIAM D SCH,2.03,11.43,34.76,51.72
949,UNION,4084,KELLY EL SCH,22.66,29.5,26.15,21.68
950,PHILADELPHIA,5294,KELLY JOHN B SCH,1.85,18.44,33.83,45.85
951,LUZERNE,2875,KENNEDY EL CTR,31.4,34.9,23.25,10.5
952,CHESTER,6834,KENNETT MS,29.14,32.34,23.65,14.91
953,LEHIGH,6801,KERNSVILLE SCH,42.23,37.01,15.88,4.84
954,ALLEGHENY,153,KERR EL SCH,47.21,26.92,15.22,10.58
955,PHILADELPHIA,7228,KEY FRANCIS SCOTT SCH,6.25,21.75,33.74,38.29
956,PHILADELPHIA,7979,KEYSTONE ACADEMY CHARTER SCHOOL,15.36,35.46,30.54,18.56
957,MERCER,7506,KEYSTONE ED CTR CS,3.03,6.08,27.26,63.62
958,CLARION,6694,KEYSTONE EL SCH,18.88,41.9,26.42,12.76
959,CLARION,1486,KEYSTONE JSHS,14.65,30.26,35.36,19.75
960,ALLEGHENY,7462,KEYSTONE OAKS MS,15.75,36.83,31.29,16.12
961,PHILADELPHIA,7826,KHEPERA CS,1.2,14.63,32.36,51.81
962,LANCASTER,5056,KING EL SCH,12.54,34.3,24.57,28.6
963,ALLEGHENY,7880,KING M L EL SCH,1.38,12.71,34.24,51.67
964,CHESTER,1375,KINGS HIGHWAY EL SCH,18.9,34.61,24.21,22.28
965,PHILADELPHIA,7776,KIPP PHILADELPHIA CHARTER SCHO,4.24,22.32,33.18,40.26
966,PHILADELPHIA,8124,KIPP WEST PHILADELPHIA PREP CS,2.01,21.72,38.29,38.03
967,PHILADELPHIA,3647,KIRKBRIDE ELIZA B SCH,15.15,33.07,27.8,23.96
968,WESTMORELAND,7191,KISKI AREA EAST PRIMARY,26.1,39.45,24.82,9.57
969,WESTMORELAND,7189,KISKI AREA IHS,19.99,38.7,26.92,14.41
970,WESTMORELAND,7190,KISKI AREA NORTH PRIMARY,37.55,40.81,16.58,5.0
971,WESTMORELAND,4516,KISKI AREA SOUTH PRIMARY,31.45,42.53,19.36,6.66
972,WESTMORELAND,8277,KISKI AREA UPPER EL SCH,21.06,42.68,25.63,10.63
973,LANCASTER,4823,KISSEL HILL EL SCH,33.85,35.68,21.08,9.34
974,ERIE,2046,KLEIN EL SCH,30.3,44.26,20.03,5.4
975,BUCKS,7271,KLINGER MS,14.85,32.95,32.39,19.81
976,MONTGOMERY,3309,KNAPP EL SCH,23.56,36.61,23.07,16.72
977,BUTLER,7460,KNOCH MS,23.11,36.6,27.13,13.18
978,LEHIGH,2827,KRATZER SCH,43.64,35.23,12.52,8.62
979,YORK,6285,KREUTZ CREEK EL SCH,21.09,44.39,25.81,8.71
980,MONTGOMERY,3275,KULP EL SCH,34.05,35.5,22.21,8.24
